market,day_of_wk,slot,capacity,capacity_remaining
Atlanta GA,2,1900,15,15
Nashville TN,0,1300,4,4
Nashville TN,0,1500,3,3
Nashville TN,0,1700,16,16
Nashville TN,0,1900,15,15
Nashville TN,1,1300,3,3
Nashville TN,1,1500,2,2
Nashville TN,1,1700,14,14
Nashville TN,1,1900,13,13
Nashville TN,2,1300,3,3
Nashville TN,2,1500,2,2
Nashville TN,2,1700,10,10
Atlanta GA,6,1700,31,31
Atlanta GA,3,1700,18,18
Atlanta GA,2,1700,16,16
Atlanta GA,5,1300,2,2
Atlanta GA,4,1300,3,3
Atlanta GA,1,1900,25,25
Atlanta GA,5,1900,25,25
Atlanta GA,0,1900,31,31
Atlanta GA,0,1300,6,6
Atlanta GA,3,1300,6,6
Atlanta GA,1,1700,26,26
Atlanta GA,5,1700,26,26
Atlanta GA,4,1700,27,27
Atlanta GA,4,1900,26,26
Atlanta GA,1,1300,4,4
Atlanta GA,2,1300,4,4
Atlanta GA,6,1300,4,4
Atlanta GA,5,1500,1,1
Nashville TN,2,1900,9,9
Nashville TN,3,1300,3,3
Nashville TN,3,1500,2,2
Nashville TN,3,1700,7,7
Nashville TN,3,1900,6,6
Nashville TN,4,1300,2,2
Nashville TN,4,1500,1,1
Nashville TN,4,1700,14,14
Atlanta GA,1,1500,3,3
Atlanta GA,2,1500,3,3
Atlanta GA,6,1500,3,3
Atlanta GA,0,1500,5,5
Atlanta GA,3,1500,5,5
Atlanta GA,4,1500,2,2
Atlanta GA,6,1900,30,30
Atlanta GA,3,1900,18,18
Nashville TN,4,1900,13,13
Nashville TN,5,1300,3,3
Nashville TN,5,1500,2,2
Nashville TN,5,1700,16,16
Nashville TN,5,1900,15,15
Nashville TN,6,1300,4,4
Nashville TN,6,1500,3,3
Nashville TN,6,1700,16,16
Nashville TN,6,1900,15,15
Atlanta GA,0,1700,32,32
