market,day_of_wk,slot,time_of_day,capacity,capacity_remaining
Atlanta GA,0,1300,AM,6,6
Atlanta GA,0,1300,PM,0,0
Atlanta GA,0,1500,AM,5,5
Atlanta GA,0,1500,PM,0,0
Atlanta GA,0,1700,AM,32,32
Atlanta GA,0,1700,PM,26,26
Atlanta GA,0,1900,AM,31,31
Atlanta GA,0,1900,PM,26,26
Atlanta GA,1,1300,AM,4,4
Atlanta GA,1,1300,PM,0,0
Atlanta GA,1,1500,AM,3,3
Atlanta GA,1,1500,PM,0,0
Atlanta GA,1,1700,AM,26,26
Atlanta GA,1,1700,PM,22,22
Atlanta GA,1,1900,AM,25,25
Atlanta GA,1,1900,PM,22,22
Atlanta GA,2,1300,AM,4,4
Atlanta GA,2,1300,PM,0,0
Atlanta GA,2,1500,AM,3,3
Atlanta GA,2,1500,PM,0,0
Atlanta GA,2,1700,AM,16,16
Atlanta GA,2,1700,PM,12,12
Atlanta GA,2,1900,AM,15,15
Atlanta GA,2,1900,PM,12,12
Atlanta GA,3,1300,AM,6,6
Atlanta GA,3,1300,PM,0,0
Atlanta GA,3,1500,AM,5,5
Atlanta GA,3,1500,PM,0,0
Atlanta GA,3,1700,AM,18,18
Atlanta GA,3,1700,PM,12,12
Atlanta GA,3,1900,AM,18,18
Atlanta GA,3,1900,PM,13,13
Atlanta GA,4,1300,AM,3,3
Atlanta GA,4,1300,PM,0,0
Atlanta GA,4,1500,AM,2,2
Atlanta GA,4,1500,PM,0,0
Atlanta GA,4,1700,AM,27,27
Atlanta GA,4,1700,PM,24,24
Atlanta GA,4,1900,AM,26,26
Atlanta GA,4,1900,PM,24,24
Atlanta GA,5,1300,AM,2,2
Atlanta GA,5,1300,PM,0,0
Atlanta GA,5,1500,AM,1,1
Atlanta GA,5,1500,PM,0,0
Atlanta GA,5,1700,AM,26,26
Atlanta GA,5,1700,PM,24,24
Atlanta GA,5,1900,AM,25,25
Atlanta GA,5,1900,PM,24,24
Atlanta GA,6,1300,AM,4,4
Atlanta GA,6,1300,PM,0,0
Atlanta GA,6,1500,AM,3,3
Atlanta GA,6,1500,PM,0,0
Atlanta GA,6,1700,AM,31,31
Atlanta GA,6,1700,PM,27,27
Atlanta GA,6,1900,AM,30,30
Atlanta GA,6,1900,PM,27,27
Nashville TN,0,1300,AM,4,4
Nashville TN,0,1300,PM,0,0
Nashville TN,0,1500,AM,3,3
Nashville TN,0,1500,PM,0,0
Nashville TN,0,1700,AM,16,16
Nashville TN,0,1700,PM,12,12
Nashville TN,0,1900,AM,15,15
Nashville TN,0,1900,PM,12,12
Nashville TN,1,1300,AM,3,3
Nashville TN,1,1300,PM,0,0
Nashville TN,1,1500,AM,2,2
Nashville TN,1,1500,PM,0,0
Nashville TN,1,1700,AM,14,14
Nashville TN,1,1700,PM,11,11
Nashville TN,1,1900,AM,13,13
Nashville TN,1,1900,PM,11,11
Nashville TN,2,1300,AM,3,3
Nashville TN,2,1300,PM,0,0
Nashville TN,2,1500,AM,2,2
Nashville TN,2,1500,PM,0,0
Nashville TN,2,1700,AM,10,10
Nashville TN,2,1700,PM,7,7
Nashville TN,2,1900,AM,9,9
Nashville TN,2,1900,PM,7,7
Nashville TN,3,1300,AM,3,3
Nashville TN,3,1300,PM,0,0
Nashville TN,3,1500,AM,2,2
Nashville TN,3,1500,PM,0,0
Nashville TN,3,1700,AM,7,7
Nashville TN,3,1700,PM,4,4
Nashville TN,3,1900,AM,6,6
Nashville TN,3,1900,PM,4,4
Nashville TN,4,1300,AM,2,2
Nashville TN,4,1300,PM,0,0
Nashville TN,4,1500,AM,1,1
Nashville TN,4,1500,PM,0,0
Nashville TN,4,1700,AM,14,14
Nashville TN,4,1700,PM,12,12
Nashville TN,4,1900,AM,13,13
Nashville TN,4,1900,PM,12,12
Nashville TN,5,1300,AM,3,3
Nashville TN,5,1300,PM,0,0
Nashville TN,5,1500,AM,2,2
Nashville TN,5,1500,PM,0,0
Nashville TN,5,1700,AM,16,16
Nashville TN,5,1700,PM,13,13
Nashville TN,5,1900,AM,15,15
Nashville TN,5,1900,PM,13,13
Nashville TN,6,1300,AM,4,4
Nashville TN,6,1300,PM,0,0
Nashville TN,6,1500,AM,3,3
Nashville TN,6,1500,PM,0,0
Nashville TN,6,1700,AM,16,16
Nashville TN,6,1700,PM,12,12
Nashville TN,6,1900,AM,15,15
Nashville TN,6,1900,PM,12,12
