market,day_of_wk,slot,time_of_day,capacity,capacity_remaining
Atlanta GA,0,1300,AM,9,9
Atlanta GA,0,1300,PM,0,0
Atlanta GA,0,1500,AM,8,8
Atlanta GA,0,1500,PM,0,0
Atlanta GA,0,1700,AM,48,48
Atlanta GA,0,1700,PM,39,39
Atlanta GA,0,1900,AM,47,47
Atlanta GA,0,1900,PM,39,39
Atlanta GA,1,1300,AM,6,6
Atlanta GA,1,1300,PM,0,0
Atlanta GA,1,1500,AM,5,5
Atlanta GA,1,1500,PM,0,0
Atlanta GA,1,1700,AM,39,39
Atlanta GA,1,1700,PM,33,33
Atlanta GA,1,1900,AM,38,38
Atlanta GA,1,1900,PM,33,33
Atlanta GA,2,1300,AM,6,6
Atlanta GA,2,1300,PM,0,0
Atlanta GA,2,1500,AM,5,5
Atlanta GA,2,1500,PM,0,0
Atlanta GA,2,1700,AM,24,24
Atlanta GA,2,1700,PM,18,18
Atlanta GA,2,1900,AM,23,23
Atlanta GA,2,1900,PM,18,18
Atlanta GA,3,1300,AM,9,9
Atlanta GA,3,1300,PM,0,0
Atlanta GA,3,1500,AM,8,8
Atlanta GA,3,1500,PM,0,0
Atlanta GA,3,1700,AM,27,27
Atlanta GA,3,1700,PM,18,18
Atlanta GA,3,1900,AM,27,27
Atlanta GA,3,1900,PM,20,20
Atlanta GA,4,1300,AM,5,5
Atlanta GA,4,1300,PM,0,0
Atlanta GA,4,1500,AM,3,3
Atlanta GA,4,1500,PM,0,0
Atlanta GA,4,1700,AM,41,41
Atlanta GA,4,1700,PM,36,36
Atlanta GA,4,1900,AM,39,39
Atlanta GA,4,1900,PM,36,36
Atlanta GA,5,1300,AM,3,3
Atlanta GA,5,1300,PM,0,0
Atlanta GA,5,1500,AM,2,2
Atlanta GA,5,1500,PM,0,0
Atlanta GA,5,1700,AM,39,39
Atlanta GA,5,1700,PM,36,36
Atlanta GA,5,1900,AM,38,38
Atlanta GA,5,1900,PM,36,36
Atlanta GA,6,1300,AM,6,6
Atlanta GA,6,1300,PM,0,0
Atlanta GA,6,1500,AM,5,5
Atlanta GA,6,1500,PM,0,0
Atlanta GA,6,1700,AM,47,47
Atlanta GA,6,1700,PM,41,41
Atlanta GA,6,1900,AM,45,45
Atlanta GA,6,1900,PM,41,41
Nashville TN,0,1300,AM,6,6
Nashville TN,0,1300,PM,0,0
Nashville TN,0,1500,AM,5,5
Nashville TN,0,1500,PM,0,0
Nashville TN,0,1700,AM,24,24
Nashville TN,0,1700,PM,18,18
Nashville TN,0,1900,AM,23,23
Nashville TN,0,1900,PM,18,18
Nashville TN,1,1300,AM,5,5
Nashville TN,1,1300,PM,0,0
Nashville TN,1,1500,AM,3,3
Nashville TN,1,1500,PM,0,0
Nashville TN,1,1700,AM,21,21
Nashville TN,1,1700,PM,17,17
Nashville TN,1,1900,AM,20,20
Nashville TN,1,1900,PM,17,17
Nashville TN,2,1300,AM,5,5
Nashville TN,2,1300,PM,0,0
Nashville TN,2,1500,AM,3,3
Nashville TN,2,1500,PM,0,0
Nashville TN,2,1700,AM,15,15
Nashville TN,2,1700,PM,11,11
Nashville TN,2,1900,AM,14,14
Nashville TN,2,1900,PM,11,11
Nashville TN,3,1300,AM,5,5
Nashville TN,3,1300,PM,0,0
Nashville TN,3,1500,AM,3,3
Nashville TN,3,1500,PM,0,0
Nashville TN,3,1700,AM,11,11
Nashville TN,3,1700,PM,6,6
Nashville TN,3,1900,AM,9,9
Nashville TN,3,1900,PM,6,6
Nashville TN,4,1300,AM,3,3
Nashville TN,4,1300,PM,0,0
Nashville TN,4,1500,AM,2,2
Nashville TN,4,1500,PM,0,0
Nashville TN,4,1700,AM,21,21
Nashville TN,4,1700,PM,18,18
Nashville TN,4,1900,AM,20,20
Nashville TN,4,1900,PM,18,18
Nashville TN,5,1300,AM,5,5
Nashville TN,5,1300,PM,0,0
Nashville TN,5,1500,AM,3,3
Nashville TN,5,1500,PM,0,0
Nashville TN,5,1700,AM,24,24
Nashville TN,5,1700,PM,20,20
Nashville TN,5,1900,AM,23,23
Nashville TN,5,1900,PM,20,20
Nashville TN,6,1300,AM,6,6
Nashville TN,6,1300,PM,0,0
Nashville TN,6,1500,AM,5,5
Nashville TN,6,1500,PM,0,0
Nashville TN,6,1700,AM,24,24
Nashville TN,6,1700,PM,18,18
Nashville TN,6,1900,AM,23,23
Nashville TN,6,1900,PM,18,18
