market,day_of_wk,slot,time_of_day,capacity,capacity_remaining
Atlanta GA,0,1300,AM,24,24
Atlanta GA,0,1300,PM,0,0
Atlanta GA,0,1500,AM,20,20
Atlanta GA,0,1500,PM,0,0
Atlanta GA,0,1700,AM,128,128
Atlanta GA,0,1700,PM,104,104
Atlanta GA,0,1900,AM,124,124
Atlanta GA,0,1900,PM,104,104
Atlanta GA,1,1300,AM,16,16
Atlanta GA,1,1300,PM,0,0
Atlanta GA,1,1500,AM,12,12
Atlanta GA,1,1500,PM,0,0
Atlanta GA,1,1700,AM,104,104
Atlanta GA,1,1700,PM,88,88
Atlanta GA,1,1900,AM,100,100
Atlanta GA,1,1900,PM,88,88
Atlanta GA,2,1300,AM,16,16
Atlanta GA,2,1300,PM,0,0
Atlanta GA,2,1500,AM,12,12
Atlanta GA,2,1500,PM,0,0
Atlanta GA,2,1700,AM,64,64
Atlanta GA,2,1700,PM,48,48
Atlanta GA,2,1900,AM,60,60
Atlanta GA,2,1900,PM,48,48
Atlanta GA,3,1300,AM,24,24
Atlanta GA,3,1300,PM,0,0
Atlanta GA,3,1500,AM,20,20
Atlanta GA,3,1500,PM,0,0
Atlanta GA,3,1700,AM,72,72
Atlanta GA,3,1700,PM,48,48
Atlanta GA,3,1900,AM,72,72
Atlanta GA,3,1900,PM,52,52
Atlanta GA,4,1300,AM,12,12
Atlanta GA,4,1300,PM,0,0
Atlanta GA,4,1500,AM,8,8
Atlanta GA,4,1500,PM,0,0
Atlanta GA,4,1700,AM,108,108
Atlanta GA,4,1700,PM,96,96
Atlanta GA,4,1900,AM,104,104
Atlanta GA,4,1900,PM,96,96
Atlanta GA,5,1300,AM,8,8
Atlanta GA,5,1300,PM,0,0
Atlanta GA,5,1500,AM,4,4
Atlanta GA,5,1500,PM,0,0
Atlanta GA,5,1700,AM,104,104
Atlanta GA,5,1700,PM,96,96
Atlanta GA,5,1900,AM,100,100
Atlanta GA,5,1900,PM,96,96
Atlanta GA,6,1300,AM,16,16
Atlanta GA,6,1300,PM,0,0
Atlanta GA,6,1500,AM,12,12
Atlanta GA,6,1500,PM,0,0
Atlanta GA,6,1700,AM,124,124
Atlanta GA,6,1700,PM,108,108
Atlanta GA,6,1900,AM,120,120
Atlanta GA,6,1900,PM,108,108
Nashville TN,0,1300,AM,16,16
Nashville TN,0,1300,PM,0,0
Nashville TN,0,1500,AM,12,12
Nashville TN,0,1500,PM,0,0
Nashville TN,0,1700,AM,64,64
Nashville TN,0,1700,PM,48,48
Nashville TN,0,1900,AM,60,60
Nashville TN,0,1900,PM,48,48
Nashville TN,1,1300,AM,12,12
Nashville TN,1,1300,PM,0,0
Nashville TN,1,1500,AM,8,8
Nashville TN,1,1500,PM,0,0
Nashville TN,1,1700,AM,56,56
Nashville TN,1,1700,PM,44,44
Nashville TN,1,1900,AM,52,52
Nashville TN,1,1900,PM,44,44
Nashville TN,2,1300,AM,12,12
Nashville TN,2,1300,PM,0,0
Nashville TN,2,1500,AM,8,8
Nashville TN,2,1500,PM,0,0
Nashville TN,2,1700,AM,40,40
Nashville TN,2,1700,PM,28,28
Nashville TN,2,1900,AM,36,36
Nashville TN,2,1900,PM,28,28
Nashville TN,3,1300,AM,12,12
Nashville TN,3,1300,PM,0,0
Nashville TN,3,1500,AM,8,8
Nashville TN,3,1500,PM,0,0
Nashville TN,3,1700,AM,28,28
Nashville TN,3,1700,PM,16,16
Nashville TN,3,1900,AM,24,24
Nashville TN,3,1900,PM,16,16
Nashville TN,4,1300,AM,8,8
Nashville TN,4,1300,PM,0,0
Nashville TN,4,1500,AM,4,4
Nashville TN,4,1500,PM,0,0
Nashville TN,4,1700,AM,56,56
Nashville TN,4,1700,PM,48,48
Nashville TN,4,1900,AM,52,52
Nashville TN,4,1900,PM,48,48
Nashville TN,5,1300,AM,12,12
Nashville TN,5,1300,PM,0,0
Nashville TN,5,1500,AM,8,8
Nashville TN,5,1500,PM,0,0
Nashville TN,5,1700,AM,64,64
Nashville TN,5,1700,PM,52,52
Nashville TN,5,1900,AM,60,60
Nashville TN,5,1900,PM,52,52
Nashville TN,6,1300,AM,16,16
Nashville TN,6,1300,PM,0,0
Nashville TN,6,1500,AM,12,12
Nashville TN,6,1500,PM,0,0
Nashville TN,6,1700,AM,64,64
Nashville TN,6,1700,PM,48,48
Nashville TN,6,1900,AM,60,60
Nashville TN,6,1900,PM,48,48
