zipcode,market,slot,claim_cnt,served_flag,density_pred,density_succ
28734,Atlanta GA,1700,0,0,0,0
28734,Atlanta GA,1900,0,0,0,0
28734,Atlanta GA,1300,0,0,0,0
28734,Atlanta GA,1500,0,0,0,0
30004,Atlanta GA,1700,0,0,0,0
30004,Atlanta GA,1900,0,0,0,0
30004,Atlanta GA,1300,0,0,0,0
30004,Atlanta GA,1500,0,0,0,0
30005,Atlanta GA,1700,0,0,0,0
30005,Atlanta GA,1900,0,0,0,0
30005,Atlanta GA,1300,0,0,0,0
30005,Atlanta GA,1500,0,0,0,0
30008,Atlanta GA,1700,0,0,0,0
30008,Atlanta GA,1900,0,0,0,0
30008,Atlanta GA,1300,0,0,0,0
30008,Atlanta GA,1500,0,0,0,0
30009,Atlanta GA,1700,0,0,0,0
30009,Atlanta GA,1900,0,0,0,0
30009,Atlanta GA,1300,0,0,0,0
30009,Atlanta GA,1500,0,0,0,0
30011,Atlanta GA,1700,0,0,0,0
30011,Atlanta GA,1900,0,0,0,0
30011,Atlanta GA,1300,0,0,0,0
30011,Atlanta GA,1500,0,0,0,0
30012,Atlanta GA,1700,0,0,0,0
30012,Atlanta GA,1900,0,0,0,0
30012,Atlanta GA,1300,0,0,0,0
30012,Atlanta GA,1500,0,0,0,0
30013,Atlanta GA,1700,0,0,0,0
30013,Atlanta GA,1900,0,0,0,0
30013,Atlanta GA,1300,0,0,0,0
30013,Atlanta GA,1500,0,0,0,0
30014,Atlanta GA,1700,0,0,0,0
30014,Atlanta GA,1900,0,0,0,0
30014,Atlanta GA,1300,0,0,0,0
30014,Atlanta GA,1500,0,0,0,0
30016,Atlanta GA,1700,0,0,0,0
30016,Atlanta GA,1900,0,0,0,0
30016,Atlanta GA,1300,0,0,0,0
30016,Atlanta GA,1500,0,0,0,0
30017,Atlanta GA,1700,0,0,0,0
30017,Atlanta GA,1900,0,0,0,0
30017,Atlanta GA,1300,0,0,0,0
30017,Atlanta GA,1500,0,0,0,0
30019,Atlanta GA,1700,0,0,0,0
30019,Atlanta GA,1900,0,0,0,0
30019,Atlanta GA,1300,0,0,0,0
30019,Atlanta GA,1500,0,0,0,0
30021,Atlanta GA,1700,0,0,0,0
30021,Atlanta GA,1900,0,0,0,0
30021,Atlanta GA,1300,0,0,0,0
30021,Atlanta GA,1500,0,0,0,0
30022,Atlanta GA,1700,0,0,0,0
30022,Atlanta GA,1900,0,0,0,0
30022,Atlanta GA,1300,0,0,0,0
30022,Atlanta GA,1500,0,0,0,0
30024,Atlanta GA,1700,0,0,0,0
30024,Atlanta GA,1900,0,0,0,0
30024,Atlanta GA,1300,0,0,0,0
30024,Atlanta GA,1500,0,0,0,0
30025,Atlanta GA,1700,0,0,0,0
30025,Atlanta GA,1900,0,0,0,0
30025,Atlanta GA,1300,0,0,0,0
30025,Atlanta GA,1500,0,0,0,0
30028,Atlanta GA,1700,0,0,0,0
30028,Atlanta GA,1900,0,0,0,0
